file,title,page_url,download_url,mime,licence,credit
aiga_exit_green.png,File:Aiga Exit - Green.svg,https://commons.wikimedia.org/wiki/File:Aiga_Exit_-_Green.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4d/Aiga_Exit_-_Green.svg/960px-Aiga_Exit_-_Green.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,Converted from AIGA's Symbol Signs collection.
aiga_exit.png,File:Aiga exit.svg,https://commons.wikimedia.org/wiki/File:Aiga_exit.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d7/Aiga_exit.svg/960px-Aiga_exit.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,openclipart
aiga_fire_extinguisher.png,File:Aiga fire extinguisher.svg,https://commons.wikimedia.org/wiki/File:Aiga_fire_extinguisher.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4b/Aiga_fire_extinguisher.svg/960px-Aiga_fire_extinguisher.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,From AIGA symbol signs collection
aiga_firstaid_red.png,File:Aiga FirstAid - Red.svg,https://commons.wikimedia.org/wiki/File:Aiga_FirstAid_-_Red.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/24/Aiga_FirstAid_-_Red.svg/960px-Aiga_FirstAid_-_Red.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,Converted from AIGA's Symbol Signs collection.
aiga_firstaid.png,File:Aiga firstaid.svg,https://commons.wikimedia.org/wiki/File:Aiga_firstaid.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a6/Aiga_firstaid.svg/960px-Aiga_firstaid.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,Own work using: http://www.aiga.org/content.cfm/symbolsigns
aiga_groundtransportation.png,File:Aiga groundtransportation.svg,https://commons.wikimedia.org/wiki/File:Aiga_groundtransportation.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d3/Aiga_groundtransportation.svg/960px-Aiga_groundtransportation.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,
aiga_heliport.png,File:Aiga heliport.svg,https://commons.wikimedia.org/wiki/File:Aiga_heliport.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0f/Aiga_heliport.svg/960px-Aiga_heliport.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,http://public-domain-photos.com/free-cliparts/signs_and_symbols/map_symbols/aiga_heliport_-6985.htm
aiga_hotelinformation.png,File:Aiga hotelinformation.svg,https://commons.wikimedia.org/wiki/File:Aiga_hotelinformation.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3e/Aiga_hotelinformation.svg/960px-Aiga_hotelinformation.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,http://www.aiga.org/symbol-signs/
aiga_information.png,File:AIGA information.svg,https://commons.wikimedia.org/wiki/File:AIGA_information.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3e/AIGA_information.svg/960px-AIGA_information.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,code
aiga_litterdisposal.png,File:Aiga litterdisposal.svg,https://commons.wikimedia.org/wiki/File:Aiga_litterdisposal.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8b/Aiga_litterdisposal.svg/960px-Aiga_litterdisposal.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,
